                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1424,                 2.1859,                 1.1187,                  3e-05,                0.00159,                  1e-05,                      0,                 4.8164,                    inf,                 10.976,                0.07372,                0.00657,                0.00657
                      2,                 2.4611,                 2.0326,                 1.2193,                  3e-05,                0.00159,                  1e-05,                      0,                 5.3306,                    inf,                 38.869,               0.046922,               0.013106,               0.013106
                      3,                 2.4707,                 1.9493,                 1.2405,                0.13664,                0.05104,                0.03067,                0.01233,                 3.0281,                 15.127,                 1.0099,               0.019992,               0.019509,               0.019509
                      4,                 2.4121,                 1.8222,                 1.2066,                0.34481,                0.06061,                0.05973,                0.02446,                 2.5003,                  3.888,                0.91382,               0.019406,               0.019406,               0.019406
                      5,                 2.1927,                 1.6831,                 1.1587,                0.36532,                0.03349,                0.02863,                0.01203,                 2.3429,                 4.6123,                 0.8539,               0.019208,               0.019208,               0.019208
                      6,                 2.1223,                 1.5735,                 1.1315,                0.37119,                0.02871,                0.03854,                0.01884,                 2.2284,                 3.3881,                0.83665,                0.01901,                0.01901,                0.01901
                      7,                 1.9847,                 1.4939,                   1.09,                 0.0717,                 0.0303,                 0.0515,                0.02631,                 2.7751,                 6.9358,                0.97984,               0.018812,               0.018812,               0.018812
                      8,                 1.9211,                 1.4046,                 1.0567,                0.33178,                0.03987,                0.04644,                0.01902,                 2.2088,                  3.376,                0.83323,               0.018614,               0.018614,               0.018614
                      9,                 1.9081,                 1.4418,                 1.0753,                0.37599,                0.03349,                0.03088,                0.01242,                 2.0405,                 3.5652,                 0.7957,               0.018416,               0.018416,               0.018416
                     10,                 1.9221,                 1.3461,                 1.0733,                0.57089,                0.05263,                0.05932,                0.02564,                 2.0678,                 2.8381,                0.78556,               0.018218,               0.018218,               0.018218
                     11,                 1.8551,                 1.3568,                 1.0626,                0.56638,                0.03987,                0.05911,                0.02578,                 1.9744,                 2.8636,                0.79381,                0.01802,                0.01802,                0.01802
                     12,                 1.8842,                 1.3632,                 1.0573,                0.42339,                0.03668,                0.06196,                0.02792,                  2.073,                 3.2125,                0.79381,               0.017822,               0.017822,               0.017822
                     13,                  1.819,                 1.3286,                 1.0441,                0.34803,                 0.0303,                 0.0353,                0.01862,                 2.1334,                 3.4731,                0.81991,               0.017624,               0.017624,               0.017624
                     14,                 1.8857,                 1.3526,                 1.0666,                0.50225,                0.04625,                0.04274,                0.02199,                 1.9244,                 3.8606,                0.76708,               0.017426,               0.017426,               0.017426
                     15,                   1.81,                 1.3185,                 1.0465,                0.19143,                0.02552,                  0.024,                0.00938,                  1.976,                 3.0333,                0.77814,               0.017228,               0.017228,               0.017228
